instance_id,n,lenw,algorithm,max_nodes,solved,visited_nodes,path_length,initial_total_length,max_intermediate_length,length_increase,wallclock_seconds
0,1,1,ppo,200,False,200,,7,,,0.32453
2,1,2,ppo,200,False,200,,8,,,0.145179
4,1,3,ppo,200,False,200,,9,,,0.118895
6,1,4,ppo,200,False,200,,10,,,0.156162
12,1,5,ppo,200,False,200,,11,,,0.141586
22,1,5,ppo,200,False,200,,11,,,0.115861
30,1,6,ppo,200,False,200,,12,,,0.115084
40,1,6,ppo,200,False,200,,12,,,0.113147
50,1,6,ppo,200,False,200,,12,,,0.107916
60,1,6,ppo,200,False,200,,12,,,0.107664
70,1,6,ppo,200,False,200,,12,,,0.109386
72,1,7,ppo,200,False,200,,13,,,0.121554
82,1,7,ppo,200,False,200,,13,,,0.111422
92,1,7,ppo,200,False,200,,13,,,0.105436
102,1,7,ppo,200,False,200,,13,,,0.1145
112,1,7,ppo,200,False,200,,13,,,0.110861
122,1,7,ppo,200,False,200,,13,,,0.113473
132,1,7,ppo,200,False,200,,13,,,0.115624
142,1,7,ppo,200,False,200,,13,,,0.103443
152,1,7,ppo,200,False,200,,13,,,0.107262
162,1,7,ppo,200,False,200,,13,,,0.109716
170,2,1,ppo,200,False,200,,9,,,0.108617
172,2,2,ppo,200,False,200,,10,,,0.128789
174,2,3,ppo,200,False,200,,11,,,0.110341
176,2,4,ppo,200,False,200,,12,,,0.122866
182,2,5,ppo,200,False,200,,13,,,0.139159
192,2,5,ppo,200,False,200,,13,,,0.13406
200,2,6,ppo,200,False,200,,14,,,0.13329
210,2,6,ppo,200,False,200,,14,,,0.12341
220,2,6,ppo,200,False,200,,14,,,0.102386
230,2,6,ppo,200,False,200,,14,,,0.105441
240,2,6,ppo,200,False,200,,14,,,0.107161
242,2,7,ppo,200,False,200,,15,,,0.111981
252,2,7,ppo,200,False,200,,15,,,0.107747
262,2,7,ppo,200,False,200,,15,,,0.111418
272,2,7,ppo,200,False,200,,15,,,0.127048
282,2,7,ppo,200,False,200,,15,,,0.123953
292,2,7,ppo,200,False,200,,15,,,0.122721
302,2,7,ppo,200,False,200,,15,,,0.123126
312,2,7,ppo,200,False,200,,15,,,0.123819
322,2,7,ppo,200,False,200,,15,,,0.127231
332,2,7,ppo,200,False,200,,15,,,0.138274
340,3,1,ppo,200,False,200,,11,,,0.12049
342,3,2,ppo,200,False,200,,12,,,0.103809
344,3,3,ppo,200,False,200,,13,,,0.108965
346,3,4,ppo,200,False,200,,14,,,0.113852
352,3,5,ppo,200,False,200,,15,,,0.111868
362,3,5,ppo,200,False,200,,15,,,0.133905
370,3,6,ppo,200,False,200,,16,,,0.128122
380,3,6,ppo,200,False,200,,16,,,0.112659
390,3,6,ppo,200,False,200,,16,,,0.117494
400,3,6,ppo,200,False,200,,16,,,0.12093
410,3,6,ppo,200,False,200,,16,,,0.149836
412,3,7,ppo,200,False,200,,17,,,0.120364
422,3,7,ppo,200,False,200,,17,,,0.141585
432,3,7,ppo,200,False,200,,17,,,0.138784
442,3,7,ppo,200,False,200,,17,,,0.185182
452,3,7,ppo,200,False,200,,17,,,0.152041
462,3,7,ppo,200,False,200,,17,,,0.145293
472,3,7,ppo,200,False,200,,17,,,0.142037
482,3,7,ppo,200,False,200,,17,,,0.134077
492,3,7,ppo,200,False,200,,17,,,0.149227
502,3,7,ppo,200,False,200,,17,,,0.15959
510,4,1,ppo,200,False,200,,13,,,0.164582
512,4,2,ppo,200,False,200,,14,,,0.138136
514,4,3,ppo,200,False,200,,15,,,0.132391
516,4,4,ppo,200,False,200,,16,,,0.107631
522,4,5,ppo,200,False,200,,17,,,0.111075
532,4,5,ppo,200,False,200,,17,,,0.162421
540,4,6,ppo,200,False,200,,18,,,0.14692
550,4,6,ppo,200,False,200,,18,,,0.15897
560,4,6,ppo,200,False,200,,18,,,0.121664
570,4,6,ppo,200,False,200,,18,,,0.112865
580,4,6,ppo,200,False,200,,18,,,0.110846
582,4,7,ppo,200,False,200,,19,,,0.154643
592,4,7,ppo,200,False,200,,19,,,0.141353
602,4,7,ppo,200,False,200,,19,,,0.27222
612,4,7,ppo,200,False,200,,19,,,0.166903
622,4,7,ppo,200,False,200,,19,,,0.161278
632,4,7,ppo,200,False,200,,19,,,0.149493
642,4,7,ppo,200,False,200,,19,,,0.142697
652,4,7,ppo,200,False,200,,19,,,0.146479
662,4,7,ppo,200,False,200,,19,,,0.115308
672,4,7,ppo,200,False,200,,19,,,0.124421
680,5,1,ppo,200,False,200,,15,,,0.106043
682,5,2,ppo,200,False,200,,16,,,0.130472
684,5,3,ppo,200,False,200,,17,,,0.133606
686,5,4,ppo,200,False,200,,18,,,0.115907
692,5,5,ppo,200,False,200,,19,,,0.103435
702,5,5,ppo,200,False,200,,19,,,0.105835
710,5,6,ppo,200,False,200,,20,,,0.126259
720,5,6,ppo,200,False,200,,20,,,0.115635
730,5,6,ppo,200,False,200,,20,,,0.104843
740,5,6,ppo,200,False,200,,20,,,0.120681
750,5,6,ppo,200,False,200,,20,,,0.116197
752,5,7,ppo,200,False,200,,21,,,0.11316
762,5,7,ppo,200,False,200,,21,,,0.106235
772,5,7,ppo,200,False,200,,21,,,0.109511
782,5,7,ppo,200,False,200,,21,,,0.113662
792,5,7,ppo,200,False,200,,21,,,0.106104
802,5,7,ppo,200,False,200,,21,,,0.109368
812,5,7,ppo,200,False,200,,21,,,0.119625
822,5,7,ppo,200,False,200,,21,,,0.114501
832,5,7,ppo,200,False,200,,21,,,0.10944
842,5,7,ppo,200,False,200,,21,,,0.112618
850,6,1,ppo,200,False,200,,17,,,0.113384
852,6,2,ppo,200,False,200,,18,,,0.119997
854,6,3,ppo,200,False,200,,19,,,0.113786
856,6,4,ppo,200,False,200,,20,,,0.112279
862,6,5,ppo,200,False,200,,21,,,0.111745
872,6,5,ppo,200,False,200,,21,,,0.113096
880,6,6,ppo,200,False,200,,22,,,0.107596
890,6,6,ppo,200,False,200,,22,,,0.108418
900,6,6,ppo,200,False,200,,22,,,0.112802
910,6,6,ppo,200,False,200,,22,,,0.113893
920,6,6,ppo,200,False,200,,22,,,0.113647
922,6,7,ppo,200,False,200,,23,,,0.11329
932,6,7,ppo,200,False,200,,23,,,0.113501
942,6,7,ppo,200,False,200,,23,,,0.111954
952,6,7,ppo,200,False,200,,23,,,0.112729
962,6,7,ppo,200,False,200,,23,,,0.118433
972,6,7,ppo,200,False,200,,23,,,0.119553
982,6,7,ppo,200,False,200,,23,,,0.119363
992,6,7,ppo,200,False,200,,23,,,0.125657
1002,6,7,ppo,200,False,200,,23,,,0.120876
1012,6,7,ppo,200,False,200,,23,,,0.120772
1020,7,1,ppo,200,False,200,,19,,,0.117241
1022,7,2,ppo,200,False,200,,20,,,0.126717
1024,7,3,ppo,200,False,200,,21,,,0.139194
1026,7,4,ppo,200,False,200,,22,,,0.121752
1032,7,5,ppo,200,False,200,,23,,,0.131119
1042,7,5,ppo,200,False,200,,23,,,0.127582
1050,7,6,ppo,200,False,200,,24,,,0.116461
1060,7,6,ppo,200,False,200,,24,,,0.115461
1070,7,6,ppo,200,False,200,,24,,,0.130522
1080,7,6,ppo,200,False,200,,24,,,0.12774
1090,7,6,ppo,200,False,200,,24,,,0.114948
1092,7,7,ppo,200,False,200,,25,,,0.110895
1102,7,7,ppo,200,False,200,,25,,,0.111041
1112,7,7,ppo,200,False,200,,25,,,0.112745
1122,7,7,ppo,200,False,200,,25,,,0.118131
1132,7,7,ppo,200,False,200,,25,,,0.112284
1142,7,7,ppo,200,False,200,,25,,,0.150122
1152,7,7,ppo,200,False,200,,25,,,0.141124
1162,7,7,ppo,200,False,200,,25,,,0.139801
1172,7,7,ppo,200,False,200,,25,,,0.123119
1182,7,7,ppo,200,False,200,,25,,,0.112185
