instance_id,n,lenw,algorithm,max_nodes,solved,visited_nodes,path_length,initial_total_length,max_intermediate_length,length_increase,wallclock_seconds
0,1,1,ppo,200,False,200,,7,,,0.329493
2,1,2,ppo,200,False,200,,8,,,0.164899
4,1,3,ppo,200,False,200,,9,,,0.1406
6,1,4,ppo,200,False,200,,10,,,0.256268
12,1,5,ppo,200,False,200,,11,,,0.130754
22,1,5,ppo,200,False,200,,11,,,0.125839
30,1,6,ppo,200,False,200,,12,,,0.126956
40,1,6,ppo,200,False,200,,12,,,0.12477
50,1,6,ppo,200,False,200,,12,,,0.12422
60,1,6,ppo,200,False,200,,12,,,0.139497
70,1,6,ppo,200,False,200,,12,,,0.25841
72,1,7,ppo,200,False,200,,13,,,0.157224
82,1,7,ppo,200,False,200,,13,,,0.138045
92,1,7,ppo,200,False,200,,13,,,0.134106
102,1,7,ppo,200,False,200,,13,,,0.130449
112,1,7,ppo,200,False,200,,13,,,0.144448
122,1,7,ppo,200,False,200,,13,,,0.133245
132,1,7,ppo,200,False,200,,13,,,0.135529
142,1,7,ppo,200,False,200,,13,,,0.138866
152,1,7,ppo,200,False,200,,13,,,0.131826
162,1,7,ppo,200,False,200,,13,,,0.134764
170,2,1,ppo,200,False,200,,9,,,0.140429
172,2,2,ppo,200,False,200,,10,,,0.137555
174,2,3,ppo,200,False,200,,11,,,0.141804
176,2,4,ppo,200,False,200,,12,,,0.130655
182,2,5,ppo,200,False,200,,13,,,0.134267
192,2,5,ppo,200,False,200,,13,,,0.123513
200,2,6,ppo,200,False,200,,14,,,0.115154
210,2,6,ppo,200,False,200,,14,,,0.113653
220,2,6,ppo,200,False,200,,14,,,0.112306
230,2,6,ppo,200,False,200,,14,,,0.12287
240,2,6,ppo,200,False,200,,14,,,0.132456
242,2,7,ppo,200,False,200,,15,,,0.133173
252,2,7,ppo,200,False,200,,15,,,0.133786
262,2,7,ppo,200,False,200,,15,,,0.128591
272,2,7,ppo,200,False,200,,15,,,0.150126
282,2,7,ppo,200,False,200,,15,,,0.144568
292,2,7,ppo,200,False,200,,15,,,0.138
302,2,7,ppo,200,False,200,,15,,,0.134873
312,2,7,ppo,200,False,200,,15,,,0.140398
322,2,7,ppo,200,False,200,,15,,,0.131842
332,2,7,ppo,200,False,200,,15,,,0.126792
340,3,1,ppo,200,False,200,,11,,,0.125042
342,3,2,ppo,200,False,200,,12,,,0.123888
344,3,3,ppo,200,False,200,,13,,,0.125689
